5480|50000
1562|50
172|25
566|50
100|10
9778|99999
164|25
9906|9999
14018|15000
558|50
1554|50
2246|0
8836|5000
548|50
174|25
10286|5000
166|25
168|25
1156|50
562|50
170|25
1158|50
1558|50
570|50
176|25
178|25
180|35
1744|25
556|15
182|50
514|100
1566|50
184|25
560|50
2274|50
186|125
260|125
2028|25
5056|50
282|75
2018|25
308|50
358|100
456|500
478|1000
510|100
512|100
1564|50
516|100
518|100
520|100
522|100
1358|100
1556|50
568|50
9912|15000
564|50
1560|50
1726|100
1598|100
2012|25
12054|5000
2014|252
326|15
2016|25
5080|200000
2020|25
5082|200000
9990|50
2022|25
2024|25
2026|25
198|15
200|15
284|15
2978|4000
1878|25
432|15
1982|25
818|1000
2496|50
2498|50
2500|50
1490|5000
2502|50
2504|50
1796|300000
2506|50
2508|50
2788|50
2962|26
2988|100
7166|200000
12652|50
2990|100
4606|25
4942|50
4944|50
8228|26
8230|26
12408|5000
8232|26
8234|26
8236|26
9928|999
7322|50
6390|50
8238|26
1384|1000
156|1000
2244|0
678|1000
946|5000
5058|50
242|1
20188|50
2250|0
5716|5000
1294|50
5112|5000
8658|50
7188|0
5638|1000000
1750|5000
762|50
10424|15000000
3252|5000
12|50
3160|15000
30|50
94|15000
3162|15000
604|15000
858|50
2946|20000
1910|50
886|50
932|5000
934|5000
5000|150000
984|5000
1040|50
1210|5000
1326|50
3900|15000
1364|5000
1682|50
8260|50
2046|5000
2242|0
2744|5000
2248|0
5654|5000
12954|50
3694|5000
2284|5000
4164|50
2908|15000
3446|5000
4466|50
3534|5000
7956|15000
19990|15000
3798|30000
3832|150000
4190|50
4218|50
4242|5000
5054|50
4468|50
4486|5000
4718|50
4776|5000
4892|5000
5060|50
5354|50
5362|50
5958|5000
13494|15000
6178|50
6312|15000
6850|50
6854|5000
7184|50
10702|50
7586|15000
9716|15000
7644|5000
11478|25000000
9780|0
7708|50
7812|50
7850|50
8266|50
8320|50
11880|5000
8732|15000
8896|5000
9358|50
9662|50
10058|5000
10202|50
10388|15000
10402|15000
10734|50
6280|0
10882|50
11138|30000
13488|15000
11336|50
11746|50
12006|50
12056|5000
12844|5000
13004|5000
13070|5000
13486|15000
13490|15000
13492|15000
13606|15000
13640|5000
13690|5000
14026|15000
14032|5000
14094|5000
204|50
9908|999999
2|1
9770|0
14562|15000
202|50
206|500
1460|0
362|40000
1574|3000
5078|200000
5084|200000
5136|0
10384|100000
5156|0
8440|15000
19988|999999
5158|0
5160|0
5172|0
5174|0
6856|25000
6858|40000
6860|300000
6862|1000000
8186|100000
8188|300000
8552|0
9266|10000
14068|500000
5860|15000
5906|15000
9496|15000
9548|15000
9766|15000
9812|15000
9842|5000
9860|15000
9874|15000
10358|50
14550|5000
20190|50
20272|15000
20274|15000
1422|15000
2010|5000
1298|5000
14554|500000
5140|0
9386|9999
16550|50000
19934|15000
9772|9999
19948|15000
